Matter,FA,MD,L1,L2,L3
1,8.18E-02,3.18E-03,3.42E-03,3.20E-03,2.90E-03
1,5.27E-02,3.01E-03,3.17E-03,3.00E-03,2.85E-03
1,6.89E-02,3.14E-03,3.32E-03,3.21E-03,2.90E-03
1,1.31E-01,3.03E-03,3.38E-03,3.11E-03,2.60E-03
1,3.26E-02,3.08E-03,3.18E-03,3.08E-03,2.98E-03
1,1.06E-01,3.27E-03,3.63E-03,3.22E-03,2.94E-03
1,1.87E-01,3.42E-03,4.13E-03,3.27E-03,2.86E-03
1,4.62E-02,2.98E-03,3.13E-03,2.97E-03,2.85E-03
1,1.31E-01,3.29E-03,3.76E-03,3.23E-03,2.90E-03
1,2.26E-01,3.38E-03,4.27E-03,3.06E-03,2.82E-03
1,1.00E-01,3.23E-03,3.56E-03,3.23E-03,2.91E-03
1,1.46E-01,3.19E-03,3.69E-03,3.10E-03,2.77E-03
1,1.06E-01,3.27E-03,3.63E-03,3.22E-03,2.94E-03
1,1.87E-01,3.42E-03,4.13E-03,3.27E-03,2.86E-03
1,2.20E-01,3.01E-03,3.44E-03,3.36E-03,2.23E-03
1,1.31E-01,3.29E-03,3.76E-03,3.23E-03,2.90E-03
1,2.26E-01,3.38E-03,4.27E-03,3.06E-03,2.82E-03
1,2.24E-01,3.28E-03,4.02E-03,3.30E-03,2.53E-03
1,8.40E-02,3.26E-03,3.57E-03,3.18E-03,3.04E-03
1,2.04E-01,3.28E-03,4.06E-03,2.99E-03,2.80E-03
1,2.41E-01,3.34E-03,4.21E-03,3.21E-03,2.59E-03
1,1.97E-01,3.31E-03,4.06E-03,3.03E-03,2.83E-03
1,1.78E-01,2.75E-03,3.27E-03,2.69E-03,2.29E-03
1,5.17E-02,3.07E-03,3.20E-03,3.10E-03,2.89E-03
1,6.52E-02,3.05E-03,3.26E-03,3.02E-03,2.86E-03
1,1.69E-01,2.20E-03,2.60E-03,2.16E-03,1.85E-03
1,9.31E-02,3.27E-03,3.61E-03,3.18E-03,3.02E-03
1,4.74E-02,3.06E-03,3.19E-03,3.08E-03,2.91E-03
1,1.47E-01,2.01E-03,2.32E-03,1.97E-03,1.73E-03
1,1.06E-01,3.27E-03,3.66E-03,3.16E-03,2.99E-03
1,6.83E-02,3.08E-03,3.28E-03,3.10E-03,2.86E-03
1,1.24E-01,1.36E-03,1.51E-03,1.39E-03,1.18E-03
1,2.44E-02,3.08E-03,3.16E-03,3.09E-03,3.01E-03
1,1.47E-01,3.26E-03,3.81E-03,3.02E-03,2.94E-03
1,2.01E-01,3.35E-03,4.13E-03,3.11E-03,2.83E-03
1,1.11E-01,3.22E-03,3.63E-03,3.09E-03,2.94E-03
1,1.03E-01,2.93E-03,3.21E-03,2.97E-03,2.61E-03
1,1.86E-01,3.34E-03,4.06E-03,3.10E-03,2.88E-03
1,1.28E-01,3.26E-03,3.74E-03,3.11E-03,2.94E-03
1,9.13E-02,2.50E-03,2.73E-03,2.50E-03,2.27E-03
1,1.41E-01,3.28E-03,3.77E-03,3.21E-03,2.85E-03
1,9.62E-02,3.23E-03,3.58E-03,3.15E-03,2.97E-03
1,1.00E-01,2.37E-03,2.62E-03,2.35E-03,2.14E-03
1,7.44E-02,3.12E-03,3.35E-03,3.12E-03,2.88E-03
1,2.41E-01,2.13E-03,2.73E-03,1.83E-03,1.82E-03
1,4.17E-02,3.17E-03,3.29E-03,3.19E-03,3.03E-03
1,5.60E-02,3.22E-03,3.36E-03,3.29E-03,3.02E-03
1,9.52E-02,3.21E-03,3.52E-03,3.20E-03,2.91E-03
1,9.21E-02,3.21E-03,3.54E-03,3.14E-03,2.96E-03
1,7.41E-02,3.06E-03,3.30E-03,3.04E-03,2.85E-03
1,7.21E-02,3.15E-03,3.36E-03,3.17E-03,2.91E-03
1,1.31E-01,3.11E-03,3.56E-03,3.00E-03,2.76E-03
1,7.64E-02,2.94E-03,3.18E-03,2.89E-03,2.74E-03
1,9.96E-02,2.86E-03,3.18E-03,2.77E-03,2.63E-03
1,4.55E-02,3.10E-03,3.23E-03,3.11E-03,2.95E-03
1,6.58E-02,3.35E-03,3.50E-03,3.46E-03,3.09E-03
1,1.04E-01,2.96E-03,3.31E-03,2.80E-03,2.75E-03
1,3.77E-02,3.10E-03,3.21E-03,3.12E-03,2.97E-03
1,4.18E-02,3.11E-03,3.20E-03,3.17E-03,2.96E-03
1,4.24E-02,3.23E-03,3.36E-03,3.26E-03,3.09E-03
1,8.81E-02,3.22E-03,3.53E-03,3.17E-03,2.97E-03
1,4.91E-02,3.22E-03,3.38E-03,3.23E-03,3.06E-03
1,1.13E-01,3.32E-03,3.75E-03,3.20E-03,3.02E-03
1,1.07E-01,3.31E-03,3.71E-03,3.21E-03,3.02E-03
1,8.55E-02,3.27E-03,3.57E-03,3.21E-03,3.02E-03
1,1.29E-01,2.79E-03,3.16E-03,2.77E-03,2.43E-03
1,2.12E-01,2.41E-03,3.00E-03,2.24E-03,2.01E-03
1,7.12E-02,3.27E-03,3.51E-03,3.26E-03,3.05E-03
1,8.45E-02,3.24E-03,3.53E-03,3.19E-03,2.99E-03
1,1.47E-01,3.13E-03,3.65E-03,3.01E-03,2.74E-03
1,1.18E-01,3.10E-03,3.51E-03,3.02E-03,2.79E-03
1,1.21E-01,3.21E-03,3.66E-03,3.03E-03,2.94E-03
1,1.01E-01,3.40E-03,3.78E-03,3.32E-03,3.10E-03
1,9.64E-02,2.87E-03,3.17E-03,2.83E-03,2.62E-03
1,1.70E-01,3.05E-03,3.64E-03,2.90E-03,2.62E-03
1,2.17E-01,3.28E-03,4.11E-03,2.99E-03,2.74E-03
1,1.46E-01,2.96E-03,3.46E-03,2.75E-03,2.66E-03
1,8.75E-02,3.17E-03,3.46E-03,3.16E-03,2.90E-03
1,8.38E-02,3.13E-03,3.38E-03,3.16E-03,2.85E-03
1,7.45E-02,3.10E-03,3.25E-03,3.23E-03,2.84E-03
1,1.78E-01,2.95E-03,3.56E-03,2.70E-03,2.59E-03
1,5.21E-02,3.21E-03,3.38E-03,3.19E-03,3.05E-03
1,7.49E-02,3.21E-03,3.47E-03,3.17E-03,2.99E-03
1,8.74E-02,3.33E-03,3.65E-03,3.28E-03,3.07E-03
1,6.56E-02,3.22E-03,3.45E-03,3.18E-03,3.03E-03
1,9.10E-02,3.30E-03,3.49E-03,3.45E-03,2.95E-03
1,7.12E-02,3.27E-03,3.51E-03,3.26E-03,3.05E-03
1,1.83E-01,2.36E-03,2.84E-03,2.28E-03,1.97E-03
1,1.41E-01,2.63E-03,3.07E-03,2.45E-03,2.38E-03
1,1.01E-01,2.89E-03,3.23E-03,2.77E-03,2.68E-03
1,6.23E-02,3.13E-03,3.36E-03,3.04E-03,3.00E-03
1,6.62E-02,3.08E-03,3.30E-03,3.03E-03,2.90E-03
1,9.63E-02,3.17E-03,3.51E-03,3.07E-03,2.92E-03
1,5.29E-02,3.19E-03,3.36E-03,3.17E-03,3.03E-03
1,5.02E-02,3.09E-03,3.25E-03,3.05E-03,2.95E-03
1,9.88E-02,3.09E-03,3.39E-03,3.09E-03,2.78E-03
1,3.82E-02,3.18E-03,3.28E-03,3.22E-03,3.04E-03
1,6.19E-02,2.97E-03,3.17E-03,2.92E-03,2.81E-03
1,4.92E-02,3.25E-03,3.42E-03,3.24E-03,3.10E-03
1,1.34E-01,2.68E-03,3.09E-03,2.53E-03,2.42E-03
1,5.20E-02,3.18E-03,3.35E-03,3.16E-03,3.02E-03
1,8.06E-02,3.12E-03,3.40E-03,3.06E-03,2.91E-03
1,1.21E-01,3.13E-03,3.56E-03,2.98E-03,2.84E-03
1,6.82E-02,3.30E-03,3.51E-03,3.32E-03,3.06E-03
1,5.84E-02,3.13E-03,3.33E-03,3.09E-03,2.97E-03
1,9.77E-02,3.34E-03,3.69E-03,3.29E-03,3.04E-03
1,7.71E-02,3.17E-03,3.34E-03,3.27E-03,2.89E-03
1,9.50E-02,3.12E-03,3.46E-03,3.00E-03,2.90E-03
1,1.71E-01,3.14E-03,3.76E-03,2.91E-03,2.76E-03
1,4.06E-02,3.17E-03,3.30E-03,3.18E-03,3.04E-03
1,5.27E-02,2.72E-03,2.87E-03,2.71E-03,2.59E-03
1,5.46E-02,1.86E-03,1.95E-03,1.89E-03,1.75E-03
1,4.86E-02,2.07E-03,2.18E-03,2.07E-03,1.97E-03
1,4.87E-02,2.24E-03,2.36E-03,2.21E-03,2.14E-03
1,5.50E-02,2.41E-03,2.55E-03,2.38E-03,2.29E-03
1,4.24E-02,3.06E-03,3.20E-03,3.02E-03,2.95E-03
1,3.13E-02,2.83E-03,2.93E-03,2.79E-03,2.77E-03
1,9.27E-02,1.82E-03,1.99E-03,1.81E-03,1.65E-03
1,4.26E-02,3.07E-03,3.20E-03,3.08E-03,2.94E-03
1,4.98E-02,2.55E-03,2.65E-03,2.58E-03,2.41E-03
1,4.52E-02,2.53E-03,2.66E-03,2.48E-03,2.45E-03
1,9.45E-02,2.23E-03,2.42E-03,2.25E-03,2.00E-03
1,3.37E-02,2.50E-03,2.58E-03,2.50E-03,2.42E-03
1,3.30E-02,2.74E-03,2.84E-03,2.72E-03,2.66E-03
1,6.32E-02,2.36E-03,2.52E-03,2.33E-03,2.23E-03
1,8.85E-02,2.76E-03,3.04E-03,2.65E-03,2.59E-03
1,9.34E-02,3.08E-03,3.41E-03,2.95E-03,2.88E-03
1,9.74E-02,1.99E-03,2.20E-03,1.98E-03,1.81E-03
1,9.87E-02,1.83E-03,2.02E-03,1.83E-03,1.65E-03
1,6.51E-02,2.44E-03,2.62E-03,2.39E-03,2.32E-03
1,9.62E-02,1.35E-03,1.49E-03,1.32E-03,1.24E-03
1,7.15E-02,2.52E-03,2.72E-03,2.49E-03,2.36E-03
1,2.36E-02,3.69E-03,3.78E-03,3.68E-03,3.61E-03
1,6.57E-02,2.30E-03,2.46E-03,2.25E-03,2.17E-03
1,6.90E-02,3.51E-03,3.77E-03,3.49E-03,3.28E-03
1,8.08E-02,1.59E-03,1.72E-03,1.57E-03,1.47E-03
1,5.71E-02,2.73E-03,2.91E-03,2.66E-03,2.63E-03
1,4.97E-02,3.81E-03,4.01E-03,3.79E-03,3.63E-03
1,7.87E-02,1.87E-03,2.04E-03,1.83E-03,1.76E-03
1,6.01E-02,2.87E-03,3.06E-03,2.85E-03,2.71E-03
1,7.13E-02,3.64E-03,3.93E-03,3.52E-03,3.45E-03
1,5.21E-02,2.02E-03,2.14E-03,1.97E-03,1.95E-03
1,4.02E-02,2.74E-03,2.87E-03,2.69E-03,2.66E-03
1,6.99E-02,3.51E-03,3.78E-03,3.46E-03,3.30E-03
1,5.17E-02,3.60E-03,3.72E-03,3.68E-03,3.38E-03
1,1.01E-01,3.80E-03,4.18E-03,3.81E-03,3.41E-03
1,1.12E-01,2.25E-03,2.53E-03,2.18E-03,2.04E-03
1,2.11E-02,3.77E-03,3.86E-03,3.74E-03,3.71E-03
1,4.91E-02,4.00E-03,4.17E-03,4.06E-03,3.78E-03
1,1.43E-01,2.05E-03,2.38E-03,1.97E-03,1.80E-03
1,5.79E-02,3.09E-03,3.28E-03,3.08E-03,2.92E-03
1,5.35E-02,4.19E-03,4.44E-03,4.12E-03,4.01E-03
1,9.91E-02,2.76E-03,3.08E-03,2.63E-03,2.57E-03
1,6.85E-02,3.17E-03,3.42E-03,3.09E-03,3.01E-03
1,4.34E-02,2.96E-03,3.06E-03,3.00E-03,2.81E-03
1,9.63E-02,2.46E-03,2.70E-03,2.45E-03,2.23E-03
1,8.02E-02,3.35E-03,3.58E-03,3.42E-03,3.06E-03
1,6.86E-02,3.04E-03,3.21E-03,3.10E-03,2.81E-03
1,7.88E-02,3.51E-03,3.70E-03,3.64E-03,3.19E-03
1,4.15E-02,3.84E-03,3.99E-03,3.85E-03,3.67E-03
1,4.78E-02,3.67E-03,3.82E-03,3.72E-03,3.48E-03
1,2.90E-02,3.93E-03,4.02E-03,3.96E-03,3.80E-03
1,3.24E-02,3.31E-03,3.43E-03,3.27E-03,3.22E-03
1,4.18E-02,3.13E-03,3.23E-03,3.18E-03,2.98E-03
1,4.41E-02,3.78E-03,3.97E-03,3.73E-03,3.65E-03
1,2.19E-02,2.51E-03,2.57E-03,2.49E-03,2.47E-03
1,4.14E-02,2.82E-03,2.95E-03,2.79E-03,2.72E-03
1,1.09E-02,2.47E-03,2.50E-03,2.47E-03,2.44E-03
1,3.02E-02,1.99E-03,2.05E-03,1.99E-03,1.93E-03
1,2.50E-02,2.45E-03,2.52E-03,2.44E-03,2.40E-03
1,1.68E-02,3.04E-03,3.10E-03,3.03E-03,3.00E-03
1,1.56E-02,2.64E-03,2.67E-03,2.66E-03,2.59E-03
1,3.52E-02,1.54E-03,1.60E-03,1.53E-03,1.49E-03
1,2.09E-02,2.93E-03,2.98E-03,2.94E-03,2.86E-03
1,1.79E-02,2.86E-03,2.92E-03,2.84E-03,2.82E-03
1,7.68E-03,2.61E-03,2.63E-03,2.60E-03,2.60E-03
1,7.99E-02,2.63E-03,2.87E-03,2.56E-03,2.47E-03
1,9.57E-02,3.30E-03,3.66E-03,3.14E-03,3.09E-03
1,1.13E-01,3.94E-03,4.26E-03,4.12E-03,3.43E-03
1,3.17E-02,4.02E-03,4.15E-03,4.00E-03,3.89E-03
1,5.42E-02,3.26E-03,3.46E-03,3.18E-03,3.14E-03
1,9.04E-02,4.18E-03,4.50E-03,4.28E-03,3.76E-03
1,6.44E-02,4.06E-03,4.35E-03,3.99E-03,3.84E-03
1,4.55E-02,3.08E-03,3.23E-03,3.06E-03,2.95E-03
1,6.73E-02,3.85E-03,4.10E-03,3.85E-03,3.59E-03
1,7.19E-02,3.40E-03,3.67E-03,3.36E-03,3.18E-03
1,2.60E-02,2.94E-03,3.00E-03,2.97E-03,2.86E-03
1,4.48E-02,3.02E-03,3.14E-03,3.03E-03,2.87E-03
1,6.02E-02,3.52E-03,3.75E-03,3.45E-03,3.34E-03
1,5.80E-02,3.92E-03,4.17E-03,3.87E-03,3.73E-03
1,7.94E-02,3.83E-03,4.14E-03,3.80E-03,3.53E-03
1,3.71E-02,3.95E-03,4.05E-03,4.02E-03,3.78E-03
1,5.14E-02,4.18E-03,4.42E-03,4.13E-03,4.01E-03
1,4.69E-02,4.00E-03,4.18E-03,4.01E-03,3.81E-03
1,7.22E-02,3.90E-03,4.18E-03,3.91E-03,3.62E-03
1,3.91E-02,4.76E-03,4.92E-03,4.80E-03,4.56E-03
1,2.52E-02,4.22E-03,4.32E-03,4.23E-03,4.11E-03
1,5.41E-02,3.14E-03,3.30E-03,3.16E-03,2.96E-03
1,1.89E-01,2.10E-03,2.55E-03,1.98E-03,1.77E-03
1,1.42E-01,2.54E-03,2.95E-03,2.39E-03,2.27E-03
1,1.45E-01,2.83E-03,3.26E-03,2.81E-03,2.43E-03
1,2.14E-01,2.49E-03,3.09E-03,2.33E-03,2.05E-03
1,1.22E-01,2.60E-03,2.94E-03,2.53E-03,2.32E-03
1,1.00E-01,2.74E-03,3.00E-03,2.78E-03,2.45E-03
1,1.62E-01,2.63E-03,3.11E-03,2.51E-03,2.27E-03
1,1.21E-01,2.60E-03,2.96E-03,2.49E-03,2.36E-03
1,9.53E-02,3.02E-03,3.32E-03,2.98E-03,2.75E-03
1,1.67E-01,3.04E-03,3.63E-03,2.81E-03,2.69E-03
1,4.65E-02,2.65E-03,2.78E-03,2.63E-03,2.54E-03
1,7.02E-02,3.50E-03,3.67E-03,3.61E-03,3.22E-03
1,5.52E-02,3.50E-03,3.67E-03,3.55E-03,3.29E-03
1,4.79E-02,3.43E-03,3.60E-03,3.40E-03,3.28E-03
1,1.02E-01,1.66E-03,1.79E-03,1.72E-03,1.47E-03
1,1.03E-01,3.59E-03,3.97E-03,3.56E-03,3.23E-03
1,9.24E-02,3.86E-03,4.26E-03,3.75E-03,3.57E-03
1,5.13E-02,2.29E-03,2.39E-03,2.32E-03,2.16E-03
1,1.21E-01,3.05E-03,3.40E-03,3.08E-03,2.66E-03
1,6.73E-02,3.50E-03,3.70E-03,3.56E-03,3.24E-03
1,7.73E-02,1.88E-03,2.01E-03,1.91E-03,1.72E-03
1,7.15E-02,2.56E-03,2.76E-03,2.54E-03,2.39E-03
1,2.46E-01,1.29E-03,1.64E-03,1.24E-03,9.97E-04
1,1.85E-01,2.44E-03,2.95E-03,2.31E-03,2.07E-03
1,1.13E-01,3.01E-03,3.32E-03,3.07E-03,2.65E-03
1,2.06E-01,2.29E-03,2.85E-03,2.06E-03,1.98E-03
1,1.54E-01,2.82E-03,3.28E-03,2.78E-03,2.41E-03
1,1.50E-01,2.97E-03,3.45E-03,2.89E-03,2.57E-03
1,1.69E-01,2.37E-03,2.83E-03,2.20E-03,2.08E-03
1,7.52E-02,2.77E-03,3.00E-03,2.74E-03,2.58E-03
1,1.20E-01,2.99E-03,3.35E-03,2.99E-03,2.63E-03
1,1.31E-01,2.36E-03,2.72E-03,2.21E-03,2.16E-03
1,8.63E-02,3.14E-03,3.44E-03,3.04E-03,2.92E-03
1,3.32E-02,1.33E-03,1.37E-03,1.33E-03,1.28E-03
1,5.85E-02,3.51E-03,3.71E-03,3.54E-03,3.30E-03
1,6.19E-02,3.68E-03,3.85E-03,3.77E-03,3.42E-03
1,7.44E-02,2.28E-03,2.42E-03,2.32E-03,2.09E-03
1,1.05E-01,3.60E-03,4.01E-03,3.53E-03,3.25E-03
1,7.45E-02,3.83E-03,4.14E-03,3.77E-03,3.58E-03
1,4.05E-02,2.95E-03,3.07E-03,2.96E-03,2.83E-03
1,1.33E-01,3.63E-03,4.17E-03,3.49E-03,3.23E-03
1,6.28E-02,3.89E-03,4.16E-03,3.82E-03,3.69E-03
1,3.93E-02,3.39E-03,3.52E-03,3.39E-03,3.26E-03
1,6.13E-02,2.12E-03,2.26E-03,2.09E-03,2.00E-03
1,5.02E-02,2.18E-03,2.30E-03,2.16E-03,2.09E-03
1,1.44E-01,2.27E-03,2.64E-03,2.17E-03,2.01E-03
1,1.97E-01,2.78E-03,3.42E-03,2.51E-03,2.41E-03
1,2.15E-01,2.58E-03,3.23E-03,2.30E-03,2.21E-03
1,7.09E-02,2.16E-03,2.33E-03,2.10E-03,2.04E-03
1,7.24E-02,3.73E-03,3.98E-03,3.76E-03,3.44E-03
1,4.68E-02,3.65E-03,3.79E-03,3.70E-03,3.46E-03
1,6.59E-02,2.39E-03,2.56E-03,2.36E-03,2.25E-03
1,1.03E-01,3.36E-03,3.71E-03,3.35E-03,3.01E-03
1,1.09E-01,3.36E-03,3.78E-03,3.17E-03,3.12E-03
1,1.70E-01,1.89E-03,2.25E-03,1.79E-03,1.62E-03
1,6.28E-02,2.60E-03,2.77E-03,2.59E-03,2.44E-03
1,1.30E-01,2.96E-03,3.34E-03,2.97E-03,2.57E-03
1,1.23E-01,2.83E-03,3.22E-03,2.72E-03,2.55E-03
1,2.04E-01,2.68E-03,3.32E-03,2.41E-03,2.30E-03
1,5.25E-02,3.04E-03,3.18E-03,3.07E-03,2.86E-03
1,1.05E-01,3.61E-03,4.00E-03,3.58E-03,3.24E-03
1,2.10E-02,3.65E-03,3.73E-03,3.65E-03,3.58E-03
1,1.01E-01,2.38E-03,2.64E-03,2.31E-03,2.17E-03
1,6.88E-02,3.18E-03,3.42E-03,3.13E-03,2.99E-03
1,9.79E-02,3.32E-03,3.69E-03,3.22E-03,3.07E-03
1,1.09E-01,1.15E-03,1.27E-03,1.15E-03,1.02E-03
1,9.91E-02,1.54E-03,1.72E-03,1.48E-03,1.42E-03
1,1.03E-01,1.62E-03,1.80E-03,1.57E-03,1.48E-03
1,6.56E-02,2.12E-03,2.28E-03,2.04E-03,2.03E-03
1,5.64E-02,1.40E-03,1.48E-03,1.38E-03,1.32E-03
1,8.72E-02,2.15E-03,2.37E-03,2.08E-03,2.02E-03
1,1.02E-01,2.61E-03,2.89E-03,2.59E-03,2.36E-03
1,6.71E-02,2.34E-03,2.50E-03,2.33E-03,2.19E-03
1,4.99E-02,2.66E-03,2.80E-03,2.65E-03,2.54E-03
1,5.92E-02,2.80E-03,2.91E-03,2.88E-03,2.61E-03
1,4.79E-02,2.80E-03,2.91E-03,2.85E-03,2.65E-03
1,8.90E-02,2.40E-03,2.64E-03,2.33E-03,2.23E-03
1,6.98E-02,1.61E-03,1.74E-03,1.56E-03,1.53E-03
1,7.42E-02,1.03E-03,1.10E-03,1.04E-03,9.47E-04
1,5.10E-02,1.97E-03,2.08E-03,1.96E-03,1.88E-03
1,5.94E-02,2.08E-03,2.22E-03,2.04E-03,1.98E-03
1,6.79E-02,1.60E-03,1.70E-03,1.60E-03,1.49E-03
1,6.70E-02,3.18E-03,3.42E-03,3.12E-03,3.00E-03
1,4.91E-02,2.55E-03,2.68E-03,2.54E-03,2.43E-03
1,7.36E-02,1.49E-03,1.60E-03,1.49E-03,1.38E-03
1,7.87E-02,2.99E-03,3.25E-03,2.92E-03,2.79E-03
1,4.21E-02,2.50E-03,2.61E-03,2.49E-03,2.40E-03
1,3.58E-02,2.86E-03,2.97E-03,2.82E-03,2.78E-03
1,3.47E-02,3.09E-03,3.18E-03,3.11E-03,2.97E-03
1,6.23E-02,2.30E-03,2.43E-03,2.30E-03,2.15E-03
1,3.32E-02,3.15E-03,3.27E-03,3.11E-03,3.07E-03
1,5.31E-02,2.17E-03,2.29E-03,2.16E-03,2.06E-03
1,3.47E-02,2.77E-03,2.86E-03,2.77E-03,2.67E-03
1,5.53E-02,3.62E-03,3.80E-03,3.66E-03,3.41E-03
1,4.93E-02,2.46E-03,2.59E-03,2.43E-03,2.35E-03
1,9.10E-02,2.56E-03,2.82E-03,2.48E-03,2.37E-03
1,7.77E-02,2.44E-03,2.64E-03,2.41E-03,2.26E-03
1,4.76E-02,2.22E-03,2.32E-03,2.23E-03,2.11E-03
1,2.74E-02,2.73E-03,2.81E-03,2.71E-03,2.67E-03
1,4.12E-02,2.81E-03,2.91E-03,2.84E-03,2.69E-03
1,1.12E-01,2.28E-03,2.56E-03,2.20E-03,2.07E-03
1,7.68E-02,3.55E-03,3.78E-03,3.62E-03,3.25E-03
1,6.13E-02,3.35E-03,3.56E-03,3.35E-03,3.15E-03
1,8.77E-02,3.35E-03,3.68E-03,3.28E-03,3.11E-03
1,6.88E-02,3.82E-03,4.02E-03,3.92E-03,3.52E-03
1,6.02E-02,3.35E-03,3.54E-03,3.39E-03,3.14E-03
1,5.81E-02,2.95E-03,3.07E-03,3.04E-03,2.76E-03
1,6.30E-02,3.57E-03,3.78E-03,3.60E-03,3.33E-03
1,7.10E-02,3.22E-03,3.42E-03,3.25E-03,2.97E-03
1,1.43E-01,2.76E-03,3.17E-03,2.72E-03,2.38E-03
1,7.76E-02,3.18E-03,3.35E-03,3.29E-03,2.90E-03
1,1.08E-01,2.47E-03,2.67E-03,2.58E-03,2.16E-03
1,5.52E-02,3.50E-03,3.67E-03,3.55E-03,3.29E-03
1,4.79E-02,3.43E-03,3.60E-03,3.40E-03,3.28E-03
1,1.88E-01,2.18E-03,2.54E-03,2.26E-03,1.73E-03
1,1.03E-01,3.59E-03,3.97E-03,3.56E-03,3.23E-03
1,9.24E-02,3.86E-03,4.26E-03,3.75E-03,3.57E-03
1,1.22E-01,2.10E-03,2.32E-03,2.17E-03,1.82E-03
1,1.21E-01,3.05E-03,3.40E-03,3.08E-03,2.66E-03
1,6.73E-02,3.50E-03,3.70E-03,3.56E-03,3.24E-03
1,6.20E-02,2.90E-03,3.10E-03,2.85E-03,2.75E-03
1,1.89E-01,2.10E-03,2.55E-03,1.98E-03,1.77E-03
1,1.42E-01,2.54E-03,2.95E-03,2.39E-03,2.27E-03
1,1.45E-01,2.83E-03,3.26E-03,2.81E-03,2.43E-03
1,2.14E-01,2.49E-03,3.09E-03,2.33E-03,2.05E-03
1,1.22E-01,2.60E-03,2.94E-03,2.53E-03,2.32E-03
1,1.00E-01,2.74E-03,3.00E-03,2.78E-03,2.45E-03
1,1.62E-01,2.63E-03,3.11E-03,2.51E-03,2.27E-03
1,1.21E-01,2.60E-03,2.96E-03,2.49E-03,2.36E-03
1,9.53E-02,3.02E-03,3.32E-03,2.98E-03,2.75E-03
1,1.67E-01,3.04E-03,3.63E-03,2.81E-03,2.69E-03
